icao24,registration,manufacturericao,manufacturername,model,typecode,serialnumber,linenumber,icaoaircrafttype,operator,operatorcallsign,operatoricao,operatoriata,owner,testreg,registered,reguntil,status,built,firstflightdate,seatconfiguration,engines,modes,adsb,acars,notes,categoryDescription
c010e6,C-FGKJ,BOEING,The Boeing Company,757-223 (Boeing),B752,25298,,L2J,Cargojet Airways,CARGOJET,CJT,W8,Cargojet Airways Ltd.,,2014-12-30,,,,,,,false,false,false,,
0ac383,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
440380,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
ad2aed,N948AN,BOEING,Boeing,737-823,B738,30086,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2021-08-31,,2000-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,No ADS-B Emitter Category Information
a00035,N1CA,BOMBARDIER,Bombardier Inc,BD-100-1A10,CL30,20360,,L2J,,,,,C A Leasing Corp,,,2021-08-31,,2012-01-01,,,HONEYWELL AS907-1-1A,false,false,false,,Small (15500 to 75000 lbs)
502c55,YL-BBX,BOEING,Boeing,737 36Q/W,B733,30334,,L2J,,AIRBALTIC,BTI,,Air Baltic,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a32af9,N303FE,MCDONNELL DOUGLAS,Mcdonnell Douglas,MD-10-30F,DC10,46802,,L3J,,,,,Federal Express Corporation,,,2023-04-30,,1973-01-01,,,GE CF6-50 SER,false,false,false,,No ADS-B Emitter Category Information
a7dd0b,N6056Q,,Beech,A36,,E-1504,,,,,,,Bartair Inc,,,2022-09-30,,1979-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,
343194,EC-KRH,AIRBUS,Airbus,Airbus A320 214,A320,3529,,L2J,,VUELING,VLG,,Vueling Airlines,,,,,,,,,false,false,false,,
80071c,VT-IFG,AIRBUS,Airbus,A320 232,A320,5411,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
ad4a00,N9553E,,Bellanca,17-30A,,76-30830,,,,,,,Otto Neil D,,,2023-05-31,,1976-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
ab741e,N837UA,AIRBUS,Airbus Industrie,A319-131,A319,1474,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-04-30,,2001-01-01,,,IAE V2500SERIES,false,false,false,,Large (75000 to 300000 lbs)
4c01e2,YU-APC,AIRBUS,Airbus,A319 131,A319,2621,,L2J,,AIR SERBIA,ASL,,Air Serbia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a129d9,N174UP,AIRBUS,Airbus,A300 F4-622R,A306,0869,,L2J,United Parcel Service,UPS,UPS,5X,United Parcel Service Co,,,2021-05-31,,2006-01-01,,,P & W PW4158,false,false,false,,
406b82,G-GATP,AIRBUS,Airbus Sas,AIRBUS A320-232,A320,1804,,L2J,,SPEEDBIRD,BAW,,British Airways,,2015-08-06,,,2003-01-01,,,2 x INTERNATIONAL AERO ENGINE V2527-A5<br>,false,false,false,,No ADS-B Emitter Category Information
06a2b7,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
471f8b,HA-LYP,AIRBUS,Airbus,A320 232SL,A320,6589,,L2J,,WIZZ AIR,WZZ,,Wizz Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
406b0a,G-STBK,BOEING,Boeing Company,BOEING 777-336ER,B77W,42121,,L2J,,SPEEDBIRD,BAW,,British Airways,,2014-05-28,,,2014-01-01,,,2 x GENERAL ELECTRIC CO GE90-115B<br>,false,false,false,,No ADS-B Emitter Category Information
400e5a,G-EZAX,AIRBUS,Airbus Sas,AIRBUS A319-111,A319,2818,,L2J,,EASY,EZY,,Easyjet Airline,,2006-07-06,,,2006-01-01,,,2 x CFM CFM56-5B5/P<br>,false,false,false,,No ADS-B Emitter Category Information
710046,HZ-AKT,BOEING,Boeing,777 268ER,B772,28363,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
47837a,LN-RRS,BOEING,Boeing,737NG 883,B738,28325,,L2J,,SCANDINAVIAN,SAS,,Scandinavian Airlines System,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a3e7ab,N35034,,Cessna,177B,,17702170,,,,,,,Prime Michael F,,,2022-04-30,,1974-01-01,,,LYCOMING O&VO-360 SER,false,false,false,,Light (< 15500 lbs)
8880f3,VN-A662,AIRBUS,Airbus,A320 214SL,A320,6738,,L2J,,VIETJETAIR,VJC,,Vietjetair,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a653b8,N5068P,,Piper,PA-32R-301T,,3257207,,,,,,,Russell David D,,,2023-04-30,,,,,,false,false,false,,Light (< 15500 lbs)
3950c2,F-GUGC,AIRBUS,Airbus,A318 111,A318,2071,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
0088b3,ZS-DHA,DE HAVILLAND CANADA,Bombardier,DHC-8 311Q,DH8C,571,,L2T,,,,,Cemair,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
a6f326,N547NN,CANADAIR,Bombardier Inc,CL-600-2D24,CRJ9,15317,,L2J,American Airlines,AMERICAN,AAL,AA,American Airlines Inc,,,2023-06-30,,2014-01-01,,,GE CF34-8C5,false,false,false,,Large (75000 to 300000 lbs)
800c72,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4d2190,9H-AHS,AIRBUS,Airbus Industrie,A-320,A320,,,L2J,Air Malta,AIR MALTA,AMC,KM,,,2018-04-20,,,,,,2,false,false,false,,No ADS-B Emitter Category Information
3cefc0,D-CSCE,EMBRAER,Embraer,Embraer Phenom 300,E55P,50500424,,L2J,,,,,Luxaviation Germany,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
861f66,JA618J,BOEING,Boeing,767 346ER/W,B763,35815,,L2J,,J-BIRD,JAL,,Japan Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ad5c7e,N960DN,SHANGHAI,Boeing,MD-90-30,MD90,53530,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2023-09-30,,1998-01-01,,,IAE V2528-D5,false,false,false,,
750208,9M-MXH,BOEING,Boeing,737NG 8H6/W,B738,40135,,L2J,,MALAYSIAN,MAS,,Malaysia Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
394c04,F-GTAE,AIRBUS,Airbus,A321 212,A321,796,,L2J,,AIRFRANS,AFR,,Air France,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
14f118,RA-61720,ANTONOV,Antonov,An-148 100EA,A148,27015042020,,L2J,,STATE AERO,RSD,,Russia State Transport Company,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a890c7,N651DL,BOEING,Boeing,757-232,B752,24391,,L2J,,DELTA,DAL,,Bank Of Utah Trustee,,,2022-04-30,,1989-01-01,,,P & W PW2037,false,false,false,,High Vortex Large (aircraft such as B-757)
706027,9K-AKG,AIRBUS,Airbus,A320 214SL,A320,6458,,L2J,,KUWAITI,KAC,,Kuwait Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a1050f,N165JF,GULFSTREAM AEROSPACE,Gulfstream Aerospace,G-IV,GLF4,1251,,L2J,,,,,Jet Flight Corp,,,2023-10-31,,1994-01-01,,,ROLLS-ROYC TAY 611SER,false,false,false,,Small (15500 to 75000 lbs)
710051,HZ-AQH,AIRBUS,Airbus,A330 343E,A333,1189,,L2J,,SAUDIA,SVA,,Saudi Arabian Airlines,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
abe40a,N8652B,BOEING,Boeing,737-8H4,B738,36971,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2023-11-30,,2014-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,No ADS-B Emitter Category Information
a54c11,N440QX,DE HAVILLAND CANADA,Bombardier Inc,DHC-8-402,DH8D,4347,,L2T,,HORIZON AIR,QXE,,Horizon Air Industries Inc,,,2023-01-31,,2011-01-01,,,P&W CANADA PW150A,false,false,false,,Small (15500 to 75000 lbs)
ac045c,N87337,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000551,,L2J,,AIR SHUTTLE,ASH,,Mesa Airlines Inc,,,2022-03-31,,2016-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
7806dc,B-8978,AIRBUS,Airbus,A321 211SL,A321,7641,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
aae757,N801UA,AIRBUS,Airbus Industrie,A319-131,A319,686,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-04-30,,1997-01-01,,,IAE V2500SERIES,false,false,false,,No ADS-B Emitter Category Information
8a04f4,PK-GNQ,BOEING,Boeing,737NG 8U3/W,B738,39954,,L2J,,INDONESIA,GIA,,Garuda Indonesia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
780bfb,B-1816,AIRBUS,Airbus,A321 213,A321,6013,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a54ab2,N440AW,CANADAIR,Bombardier Inc,CL-600-2B19,CRJ2,7766,,L2J,,AIR WISCONSIN,AWI,,Air Wisconsin Airlines Llc,,,2023-02-28,,2003-01-01,,,GE CF34 SERIES,false,false,false,,
7c6de4,VH-VZQ,BOEING,Boeing,737-838,B738,39357,,L2J,Qantas,QANTAS,QFA,QF,Qantas Airways Ltd,,2018-11-12,,,2011-01-01,,,,false,false,false,,
a286bc,N262DF,,Green L/gilner D,RV-4,,1969,,,,,,,Clinthorne David W,,,2023-06-30,,1996-01-01,,,AMA/EXPR UNKNOWN ENG,false,false,false,,Light (< 15500 lbs)
a36f7e,N320NB,AIRBUS,Airbus Industrie,A319-114,A319,1392,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2022-06-30,,2000-01-01,,,CFM INTL. CFM56 SERIES,false,false,false,,Large (75000 to 300000 lbs)
43ea88,M-ISTY,IAI,Gulfstream Aerospace,G280,G280,2085,,L2J,,,,,Hampshire Aviation Ltd,,,,,,,,,false,false,false,,
a9dce9,N73445,BOEING,Boeing,737-924ER,B739,40000,,L2J,,UNITED,UAL,,United Airlines Inc,,,2023-04-30,,2011-01-01,,,CFM INTL CFM56-7B26/3,false,false,false,,Large (75000 to 300000 lbs)
a804b8,N61571,,Cessna,172M,,17264648,,,,,,,Engineers Flying Club Inc,,,2023-06-30,,1975-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,Light (< 15500 lbs)
acb285,N917UY,AIRBUS,Airbus,A321-231,A321,6427,,L2J,,AMERICAN,AAL,,American Airlines Inc,,,2021-12-31,,2015-01-01,,,IAE V2533-A5,false,false,false,,Large (75000 to 300000 lbs)
a86107,N639VA,AIRBUS,Airbus,A320-214,A320,3016,,L2J,,REDWOOD,VRD,,Wells Fargo Trust Co Na Trustee,,,2024-02-29,,2007-01-01,,,CFM INTL CFM56-5B4,false,false,false,,No ADS-B Emitter Category Information
3c70c3,D-ALFC,BOEING,Boeing,Boeing 777 FBT,B77L,41676,,L2J,,LUFTHANSA CARGO,GEC,,Lufthansa Cargo Airlines,,,,,,,,,false,false,false,,
3c65ac,D-AIML,AIRBUS,Airbus,A380 841,A388,149,,L4J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a9b63c,N725BD,HARBIN,Embraer,EMB-135BJ,E35L,14501034,,L2J,,,,,Bdg Aircharter Inc,,,2022-03-31,,2008-01-01,,,ROLLS-ROYC AE 3007A1E,false,false,false,,Small (15500 to 75000 lbs)
abfefd,N872NN,BOEING,Boeing,737-823,B738,33219,,L2J,,AMERICAN,AAL,,Wells Fargo Trust Co Na Trustee,,,2023-08-31,,2011-01-01,,,CFM INTL CFM56-7B24/3,false,false,false,,Large (75000 to 300000 lbs)
a195ef,N201CC,,Mooney,M20J,,24-1326,,,,,,,Plooster Donald G Trustee,,,2021-11-30,,1982-01-01,,,LYCOMING I0360 SER A&C,false,false,false,,Light (< 15500 lbs)
a21f57,N236FR,AIRBUS,Airbus,A320-214,A320,7389,,L2J,,FRONTIER FLIGHT,FFT,,Wells Fargo Trust Co Na Trustee,,,2022-11-30,,2016-01-01,,,CFM INTL CFM56-5B4/3,false,false,false,,No ADS-B Emitter Category Information
4ca27f,EI-DEK,AIRBUS,Airbus Industrie,A320-214,A320,2399,,L2J,,SHAMROCK,EIN,,Aer Lingus Limited,,2005-03-24,,,2005-01-01,,,2x CFM CFM56-5B4/P,false,false,false,,
424260,VP-BRS,AIRBUS,Airbus,A321 231,A321,1843,,L2J,,AIR RED,RWZ,,Red Wings Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
800595,VT-IGK,AIRBUS,Airbus,A320 232,A320,4216,,L2J,,IFLY,IGO,,Indigo Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
88804e,VN-A353,AIRBUS,Airbus,A321 231,A321,3022,,L2J,,VIET NAM AIRLINES,HVN,,Vietnam Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa96e2,N7812G,BOEING,Boeing,737-76N,B737,32582,,L2J,,SOUTHWEST,SWA,,Aircraft Msn 32582 Statutory Trust,,,2022-04-30,,,,,CFM INTL. CFM56 SERIES,false,false,false,,No ADS-B Emitter Category Information
a3fb94,N356F,TBM,Socata,TBM 700,TBM7,207,,L1T,,,,,Tbm207 Corp Trustee,,,2023-04-30,,2001-01-01,,,P&W PT6A SER,false,false,false,,Light (< 15500 lbs)
a817ac,N620QS,,Textron Aviation Inc,680A,,680A0162,,,,,,,Jll Partners Llc,,,2022-01-31,,2018-01-01,,,P&W CANADA PW306D1,false,false,false,,
3c6572,D-AIKR,AIRBUS,Airbus,A330 343E,A333,1314,,L2J,,LUFTHANSA,DLH,,Lufthansa,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a1fff9,N228NV,AIRBUS,Airbus Industrie,A320-214,A320,716,,L2J,Allegiant Air,ALLEGIANT,AAY,G4,Sunrise Asset Management Llc,,,2021-04-30,,1997-01-01,,,CFM INTL CFM56-5B4/P,false,false,false,,Large (75000 to 300000 lbs)
a2d1c6,N281AV,AIRBUS,Airbus,A320-214,A320,4281,,L2J,, S.A.,AVA,,Aircol 14 A Delaware Statutory Trust,,,2022-04-30,,2010-01-01,,,CFM INTL CFM56-5B4,false,false,false,,No ADS-B Emitter Category Information
a4460d,N37470,BOEING,Boeing,737-924ER,B739,37099,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-03-31,,2013-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
4ca9f3,EI-ISB,BOEING,The Boeing Company,BOEING 777-243,B772,32859,,L2J,,ALITALIA,AZA,,Aircraft Purchase Company No.12 Limited,,2012-03-23,,,2003-01-01,,,2x GENERAL ELECTRIC COMPANY GE90-94B,false,false,false,,No ADS-B Emitter Category Information
894074,A9C-CA,AIRBUS,Airbus,A321 231,A321,5025,,L2J,,GULF AIR,GFA,,Gulf Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a56d91,N449RP,CESSNA,Cessna,501,C501,501-0643,,L2J,,,,,Ronald A Peterson Inc Dba,,,2023-03-31,,,,,WILLIAMS FJ44-2A,false,false,false,,Light (< 15500 lbs)
800bb9,VT-WGB,AIRBUS,Airbus,A320 271NSL,A20N,7074,,L2J,,GOAIR,GOW,,Go Air,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
4d20d7,9H-VJL,,Bombardier,Global 6000,GL6T,9626,,,,,,,Vista Jet Malta,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
44009e,,,,,,,,,,,,,,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a3323d,N305DN,AIRBUS,Airbus,A321-211,A321,7149,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2022-06-30,,2016-01-01,,,CFM INTL CFM56-5B3/3,false,false,false,,Large (75000 to 300000 lbs)
ac297c,N883FE,,Cessna,208B,,208B0210,,,,,,,Federal Express Corporation,,,2023-02-28,,1990-01-01,,,P&W PT6A SER,false,false,false,,Light (< 15500 lbs)
ab54b7,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
7c6c54,VH-VOM,BOEING,Boeing,737NG 8FE/W,B738,33794,,L2J,,VIRGIN,VOZ,,Virgin Australia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
4008b4,G-EUPT,AIRBUS,Airbus Industrie,AIRBUS A319-131,A319,1380,,L2J,,SPEEDBIRD,BAW,,British Airways,,2000-12-05,,,2000-01-01,,,2 x INTERNATIONAL AERO ENGINE V2522-A5<br>,false,false,false,,
adbb9e,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
a0345f,N112HQ,EMBRAER,Embraer,ERJ 170-200 LR,E75S,17000174,,L2J,,BRICKYARD,RPA,,Republic Airways Inc,,,2023-10-31,,2007-01-01,,,GE CF34-8E5,false,false,false,,No ADS-B Emitter Category Information
c07fb9,C-GWJO,BOEING,Boeing,737-7CT (Boeing),B737,33969,,L2J,,WESTJET,WJA,,Westjet,,2004-06-28,,,,,,,false,false,false,,No ADS-B Emitter Category Information
aa56f8,N76533,BOEING,Boeing,737-824,B738,62748,,L2J,,UNITED,UAL,,United Airlines Inc,,,2022-06-30,,2016-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
a42e4e,N369FX,EMBRAER,Embraer Executive Aircraft Inc,EMB-505,E55P,50500382,,L2J,,,,,Tvpx Ars Inc Trustee,,,2022-10-31,,2016-01-01,,,P&W CANADA PW535E,false,false,false,,Small (15500 to 75000 lbs)
49d2fc,OK-TSC,BOEING,Boeing,737NG 8FH/W,B738,35093,,L2J,,SKYTRAVEL,TVS,,Smartwings,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ab04f9,N809TD,HARBIN,Embraer,EMB-135BJ,E35L,14500809,,L2J,,,,,Greco Equipment Leasing Llc,,,2022-03-31,,2004-01-01,,,ROLLS-ROYC AE3007 SER,false,false,false,,Small (15500 to 75000 lbs)
ac01d3,N873DN,BOEING,Boeing,737-900ER,B739,31984,,L2J,,DELTA,DAL,,Wells Fargo Trust Co Na Trustee,,,2023-02-28,,2017-01-01,,,CFM INTL CFM56-7B27E,false,false,false,,Large (75000 to 300000 lbs)
89638d,A6-ANT,AIRBUS,Airbus,A320 214SL,A320,5889,,L2J,,ARABIA,ABY,,Air Arabia,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a3e066,N349T,,Beech,95-B55 (T42A),,TC-573,,,,,,,Circle Enterprises Llc,,,2021-09-30,,1964-01-01,,,CONT MOTOR I0-470 SERIES,false,false,false,,Light (< 15500 lbs)
a8f9a5,N678CC,ROMAERO,Pilatus Britten-norman Ltd.,BN-2B-21,BN2P,858,,L2P,,,,,Islander Cc Llc,,,2022-04-30,,1980-01-01,,,LYCOMING IO-540 SER,false,false,false,,
4b17fa,HB-JCC,BOMBARDIER,C Series Aircraft Limited Partnership,BD-500-1A11 (CS300),BCS3,55012,,L2J,Swiss International Air Lines,SWISS,SWR,LX,Lhami Leasing Limited,,2017-08-25,,,2017-01-01,,,PRATT & WHITNEY PW1524G-3,false,false,false,,Large (75000 to 300000 lbs)
780663,B-5529,BOEING,Boeing,737NG 85C/W,B738,37150,,L2J,,XIAMEN AIR,CXA,,Xiamen Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a64e69,N505VL,AIRBUS,Airbus,A320-233,A320,4798,,L2J,,VOLARIS,VOI,,Wells Fargo Trust Co Na Trustee,,,2023-07-31,,2011-01-01,,,IAE V2527E-A5,false,false,false,,No ADS-B Emitter Category Information
e48f12,PR-TYH,AIRBUS,Airbus,A320 214SL,A320,5883,,L2J,,TAM,TAM,,Latam Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac7968,N9023N,AIRBUS,Airbus,A319-115,A319,6349,,L2J,,AMERICAN,AAL,,Wells Fargo Trust Co Na Trustee,,,2023-11-30,,2014-01-01,,,CFM INTL CFM56-5B7,false,false,false,,No ADS-B Emitter Category Information
a35244,N313DC,,Piper,PA-28-161,,28-7816591,,,,,,,Laville Mark C,,,2024-01-31,,1978-01-01,,,LYCOMING 0-320 SERIES,false,false,false,,Light (< 15500 lbs)
733071,EP-LCQ,FOKKER,Fokker,F100,F100,11492,,L2J,,CONTACTAIR,KIS,,Kish Air,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
88084f,HS-BBO,AIRBUS,Airbus,A320 216SL,A320,6240,,L2J,,THAI ASIA,AIQ,,Thai Airasia,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
a08bb4,N134SY,EMBRAER,Embraer S A,ERJ 170-200 LR,E75L,17000458,,L2J,,SKYWEST,SKW,,Skywest Airlines Inc,,,2024-02-29,,2015-01-01,,,GE CF34-8E5,false,false,false,,Large (75000 to 300000 lbs)
a06db4,N127AA,AIRBUS,Airbus,A321-231,A321,6334,,L2J,,AMERICAN,AAL,,Wells Fargo Trust Co Na Trustee,,,2023-11-30,,2014-01-01,,,IAE V2533-A5,false,false,false,,No ADS-B Emitter Category Information
896341,A6-ETM,BOEING,Boeing,777 3FXER,B77W,39688,,L2J,,ETIHAD,ETD,,Etihad Airways,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a22bf0,N239WN,BOEING,Boeing,737-7H4,B737,34714,,L2J,,SOUTHWEST,SWA,,Southwest Airlines Co,,,2023-10-31,,2006-01-01,,,CFM INTL CFM56-7B24,false,false,false,,No ADS-B Emitter Category Information
e48210,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Small (15500 to 75000 lbs)
aadeec,N8TZ,,Beech,A36,,E-2076,,,,,,,Dle Aviation Enterprises Llc,,,2021-06-30,,1983-01-01,,,CONT MOTOR IO 520 SERIES,false,false,false,,Light (< 15500 lbs)
39cea3,F-HTVD,BOEING,Boeing,737NG 800/W,B738,62154,,L2J,,FRENCH SUN,TVF,,Transavia France,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
75010a,9M-AFE,AIRBUS,Airbus,A320 214,A320,2699,,L2J,,ASIAN EXPRESS,AXM,,Airasia,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac5249,N893UP,,Textron Aviation Inc,B300,,FL-1138,,,,,,,Bank Of Utah Trustee,,,2021-06-30,,2018-01-01,,,P&W CANADA PT6A-60A,false,false,false,,Light (< 15500 lbs)
7c8124,VH-ZSM,LOT,Aerospatiale,Squirrel AS.350 BA,AS50,1766,,H1T,,,,,Gold Coast Leisure Services P/l,,,,,,,,,false,false,false,,Rotorcraft
a75659,N572FE,MCDONNELL DOUGLAS,Mcdonnell Douglas,MD-11F,MD11,48755,,L3J,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2023-07-31,,1997-01-01,,,GE CF6-80C2D1F,false,false,false,,No ADS-B Emitter Category Information
a2dc6e,N2837A,,Piper,PA-28-201T,,28-7921050,,,,,,,Briscoe Robert M,,,2022-08-31,,1979-01-01,,,CONT MOTOR TSIO-360 SER,false,false,false,,Light (< 15500 lbs)
780d94,B-1640,AIRBUS,Airbus,A321 231SL,A321,6499,,L2J,,CHINA EASTERN,CES,,China Eastern Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
a9bb53,N726RF,,Bombardier Inc,CL-600-2B16,,5451,,,,,,,Rooney Aviation Llc,,,2021-11-30,,2000-01-01,,,GE CF34 SERIES,false,false,false,,
aa6b1d,N770XJ,CESSNA,Cessna,750,C750,750-0270,,L2J,,,,,A & C Business Services Inc,,,2022-12-31,,2007-01-01,,,ALLISON AE 3007C1,false,false,false,,Small (15500 to 75000 lbs)
a02ffa,N111AR,,Beech,65 (LF-23F),,LF-68,,,,,,,Bemidji Aviation Services Inc,,,2022-01-31,,1962-01-01,,,LYCOMING IO-720,false,false,false,,Small (15500 to 75000 lbs)
ace5fe,N930DK,,Robinson Helicopter Company,R44 II,,13963,,,,,,,City Of Lakewood,,,2022-06-30,,2016-01-01,,,LYCOMING IO-540-AE1A5,false,false,false,,
4ca8df,EI-IMF,AIRBUS,Airbus Industrie,A319-112,A319,2083,,L2J,,ALITALIA,AZA,,Aircraft Purchase Company No.12 Limited,,2010-11-08,,,2003-01-01,,,2x CFM CFM56-5B6/P,false,false,false,,Large (75000 to 300000 lbs)
a87223,N643UA,BOEING,Boeing,767-322,B763,25093,,L2J,,UNITED,UAL,,Wells Fargo Trust Co Na Trustee,,,2021-10-31,,1991-01-01,,,P&W PW4000 SER,false,false,false,,No ADS-B Emitter Category Information
a25c13,N251JX,EMBRAER,Embraer,EMB-135LR,E135,145235,,L2J,,,,,Bank Of Utah Trustee,,,2022-05-31,,2000-01-01,,,ALLISON AE 3007A,false,false,false,,No ADS-B Emitter Category Information
424596,VQ-BSJ,AIRBUS,Airbus,A320 214SL,A320,6044,,L2J,,AEROFLOT,AFL,,Aeroflot Russian Airlines,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
ac6452,N898PA,LEARJET,Learjet Inc,60,LJ60,111,,L2J,,,,,Des Aviation Llc,,,2023-05-31,,1997-01-01,,,P & W PW300 SER,false,false,false,,
aaa752,N786FE,CESSNA,Cessna,208B,C208,208B0284,,L1T,Federal Express,FEDEX,FDX,FX,Federal Express Corp,,,2022-02-28,,1991-01-01,,,P&W PT6A SER,false,false,false,,Light (< 15500 lbs)
e4932b,PR-OBJ,AIRBUS,Airbus,A320 251NSL,A20N,7698,,L2J,,OCEANAIR,ONE,,Avianca Brasil,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
8960f9,A6-EDX,AIRBUS,Airbus,Airbus A380 861,A388,105,,L4J,,EMIRATES,UAE,,Emirates Airline,,,,,,,,,false,false,false,,Heavy (> 300000 lbs)
a11752,N17FA,,Cessna,560,,560-0655,,,,,,,J F Holdings Inc,,,2021-05-31,,2004-01-01,,,P&W CANADA PW535A,false,false,false,,
ab3d41,N823NW,AIRBUS,Airbus,A330-302,A333,1628,,L2J,,DELTA,DAL,,Delta Air Lines Inc,,,2022-03-31,,2015-01-01,,,GE CF6-80E1A4,false,false,false,,Heavy (> 300000 lbs)
345218,EC-MKL,BOEING,Boeing,737NG 85P/W,B738,60585,,L2J,,EUROPA,AEA,,Air Europa,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
7c6699,VH-UJV,ROCKWELL,Aero Commander,500S Shrike Commander,AC50,3161,,L2P,General Aviation Maintenance,,,,Gam Air Pty Ltd,,1979-03-16,,,1973-01-01,,,Lycoming IO-540-E1B5,false,false,false,,Light (< 15500 lbs)
7803ae,B-6512,AIRBUS,Airbus,A330 343E,A333,1087,,L2J,,AIR CHINA,CCA,,Air China,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
adaf06,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Light (< 15500 lbs)
502c2f,YL-BBE,BOEING,Boeing,737 53S,B735,29073,,L2J,,AIRBALTIC,BTI,,Air Baltic,,,,,,,,,false,false,false,,No ADS-B Emitter Category Information
461fa8,,,,,,,,,,,,,,,,,,,,,,false,false,false,,Large (75000 to 300000 lbs)
ac5fd7,N897FE,CESSNA,Cessna,208B,C208,208B0227,,L1T,,,,,Federal Express Corporation,,,2021-07-31,,1990-01-01,,,P&W PT6A SERIES,false,false,false,,Light (< 15500 lbs)
